content,score,text_clean,text_stopword,text_slang,text_no_stopwords
Jelek nggak bisa cod,1,jelek nggak bisa cod,jelek nggak cod,jelek enggak cod,jelek cod
"MASIH ADA KUPON TAPI MALAH GA BISA DIPAKAII, SEKALI DIPAKAI MALAH BARANGANYA NGGA DATANG, NYASAR KERUMAH ORG. MAU AJUKAN KOMPLIN TAPI MALAH SURUH BAYARRR. GIMANAAA SIII GA REKOMEN BGT!!!!. MENDING SHOPE AJA LEBIH AMAN DAN TERPECAYA.",1,masih ada kupon tapi malah ga bisa dipakaii sekali dipakai malah baranganya ngga datang nyasar kerumah org mau ajukan komplin tapi malah suruh bayarrr gimanaaa siii ga rekomen bgt mending shope aja lebih aman dan terpecaya,kupon ga dipakaii dipakai baranganya ngga nyasar kerumah org ajukan komplin suruh bayarrr gimanaaa siii ga rekomen bgt mending shope aja aman terpecaya,kupon enggak dipakaii dipakai baranganya enggak nyasar kerumah orang ajukan komplin suruh bayarrr gimanaaa siii enggak rekomen banget mending shope saja aman terpecaya,kupon dipakaii dipakai baranganya nyasar kerumah orang ajukan komplin suruh bayarrr gimanaaa siii rekomen banget mending shope aman terpecaya
mantap,5,mantap,mantap,mantap,mantap
manjut,5,manjut,manjut,manjut,manjut
"Woy, masa gak ada fitur delete pada barang rekomendasi ""buat kamu"" sih, udah nyoba delete rekomendasi barang yang ada unsur 18+ gak bisa bisa, padahal aku gak pernah nyari barang gituan... sumpah ganggu banget",1,woy masa gak ada fitur delete pada barang rekomendasi buat kamu sih udah nyoba delete rekomendasi barang yang ada unsur  gak bisa bisa padahal aku gak pernah nyari barang gituan sumpah ganggu banget,woy gak fitur delete barang rekomendasi sih udah nyoba delete rekomendasi barang unsur gak gak nyari barang gituan sumpah ganggu banget,woy enggak fitur delete barang rekomendasi sih sudah mencoba delete rekomendasi barang unsur enggak enggak mencari barang begituan sumpah ganggu banget,woy fitur delete barang rekomendasi sih mencoba delete rekomendasi barang unsur mencari barang begituan sumpah ganggu banget
Payah sumpah toko pedia payah..,1,payah sumpah toko pedia payah,payah sumpah toko pedia payah,payah sumpah toko pedia payah,payah sumpah toko pedia payah
Alhamdulillah byk promo'a,5,alhamdulillah byk promoa,alhamdulillah byk promoa,alhamdulillah banyak promoa,alhamdulillah promoa
sangat menyenangkan,5,sangat menyenangkan,menyenangkan,menyenangkan,menyenangkan
mantapp bangettt apk nyaaa😆😆😆😆😆,5,mantapp bangettt apk nyaaa,mantapp bangettt apk nyaaa,mantap banget apk nya,mantap banget apk nya
Terlalu sering update bikin berat hp,2,terlalu sering update bikin berat hp,update bikin berat hp,update bikin berat hp,update bikin berat hp
Online shop tertolol paket salah antar terus niat jadi online shop ga sih mending hapus aja apk ya gw nyesel beli pake apk ini,1,online shop tertolol paket salah antar terus niat jadi online shop ga sih mending hapus aja apk ya gw nyesel beli pake apk ini,online shop tertolol paket salah niat online shop ga sih mending hapus aja apk ya gw nyesel beli pake apk,online shop tertolol paket salah niat online shop enggak sih mending hapus saja apk ya gue menyesal beli pakai apk,online shop tertolol paket salah niat online shop sih mending hapus apk ya gue menyesal beli pakai apk
"barang berhari hari gak sampai mentok diam di gudang sortir dan gk ada pergerakan,kupon potongan cuma pajangan modus pas beli kena potongan ongkir, pengiriman gak jelas , kupon cuma ngeprank, kapok tobat, mending pake shope lebih ptofesional dan akurat juga nyata",1,barang berhari hari gak sampai mentok diam di gudang sortir dan gk ada pergerakankupon potongan cuma pajangan modus pas beli kena potongan ongkir pengiriman gak jelas  kupon cuma ngeprank kapok tobat mending pake shope lebih ptofesional dan akurat juga nyata,barang berhari gak mentok diam gudang sortir gk pergerakankupon potongan pajangan modus pas beli kena potongan ongkir pengiriman gak kupon ngeprank kapok tobat mending pake shope ptofesional akurat nyata,barang berhari enggak mentok diam gudang sortir enggak pergerakankupon potongan pajangan modus pas beli kena potongan ongkir pengiriman enggak kupon ngeprank kapok tobat mending pakai shope ptofesional akurat nyata,barang berhari mentok diam gudang sortir pergerakankupon potongan pajangan modus pas beli kena potongan ongkir pengiriman kupon ngeprank kapok tobat mending pakai shope ptofesional akurat nyata
simple top,5,simple top,simple top,simple top,simple top
sangat bagus,5,sangat bagus,bagus,bagus,bagus
anti ribet...,5,anti ribet,anti ribet,anti ribet,anti ribet
"Kecewa,,pakek aplikasi ini beberapa pesan pakai gratis ongkir,ekspedisi kurir selalu telat beberapa hari,pafahal yg dipesan tanaman...KAPOK",1,kecewapakek aplikasi ini beberapa pesan pakai gratis ongkirekspedisi kurir selalu telat beberapa haripafahal yg dipesan tanamankapok,kecewapakek aplikasi pesan pakai gratis ongkirekspedisi kurir telat haripafahal yg dipesan tanamankapok,kecewapakek aplikasi pesan pakai gratis ongkirekspedisi kurir telat haripafahal yang dipesan tanamankapok,kecewapakek aplikasi pesan pakai gratis ongkirekspedisi kurir telat haripafahal dipesan tanamankapok
