content,score
good 👍,5
"KEMBALIKAN UI LAMA!! UI BARU (18 OKTOBER 2024) SANGAT JELEK, PEMBERITAHUAN MALAH DIGABUNG SAMA PESAN, JADI TIDAK BISA MEMBEDAKAN MANA PEMBERITAHUAN MANA PESAN!",1
bagus,5
Sudah ber kali kali saya gagal up date Apakah ada solusi?,2
"Lama prosesnya dr tokopedia Kurir bermasalah pasti ada aja barang gak sampai tujuan, info nya sudah diterima yang bersangkutan barang kagak ada tindakan dr Tokopedia lambat (kurir yang masalah jangan di pakai)",1
"Tokopedia pliiss jangan kerjasama lagi dengan ID express, lamaaa banget kurirnya saya pesen dari tnggal 10 oct smpek sekarang tanggal 18 oct belum sampai juga,",3
Ok,5
Aplikasi bodat ini temen gua di PHP in promo gabisa undang teman udh rugi brengsek Emang,1
aplikasi nya udh bagus tpi yg jadi masalah diskon nya selalu vepat habis,3
"Gw dapet voucher 20rb, tiba2 dibatalin sistem, pembayaran via transfer bank, gw mau tarik saldo gak bisa katanya min 10rb, sedangkan gw transaksi cuman 5rb, otomatis gak bisa di tarik, kan konyol anjg!!",1
"mantab, cepat dan ringkas",5
"GAJELAS, kalian klo mau download tokped mending pikir DUA KALI dh, soalnya tokped skrng gajelas. Masa saya pelanggan pertama dapet voucher pas udh digunain DIBATALKAN OLEH SISTEM kn aneh. trus pas saya mau PESEN ULANG malah VOUCHER NYA ILANG begitu ajh kan KOCAK YAAKK",1
mantap lah oke ini ijo,5
Susah benar masuk ke tokopedia.,1
"Pas mo CO bsa pakai kupon, abis CO tau² dibatalkan.. Aneh emang, mana katanya manipulasi.. Aplikasi kog aneh, ga jelas, buang² waktu jg..",1
Aplikasi aneh bikin pin aja ribet,1
Aku kasih bintang 5 ko lama banget mengingsal,5
"Sekarang keamanan tokped sangat bokbrok Barusan saya rugi 2 juta,akibat dari pembeli licik Untuk sekarang banyak pembeli yang curang sistemnya dia barang dapet uang dapet",2
"Kupon cuma pajangan,tiap mau beli pakai kupon selalu tidak bisa,mengecewakan sekali,gimana mau bersaing dengan olshop lain kalau begini?",1
Saya hapus 2 bintang karena pembayaran cicilan tokopedia card saya di tolak secara sepihak. Bikin rusak BI checking aja,3
Hati2 sama tokopedia .klo barang blm di kirim sampe batas waktu tanggal tdak ada tanggapan apa respon sama pihak Tokopedia apa penjual..lama2 PD males pke Tokopedia mnding pake apk yg lain,1
Mantap,5
"Pengiriman lama,outo un instal",1
Susah tarik saldo,1
mudah dn nyaman belanja d Tokopedia,5
mantap,5
"Tolol anying di kasih kupon promo pas di pakai di checkout uang udah di transfer malah refund ,, katanya melebihi kapasitas promo , buat apa di kasih promo blog,, pengiriman next day tapi udah 2 hari belum nyampe kocak",1
Lebih relevant,5
ok,5
"Saya kasih bintang 5 lagi, kemarin sempet setiap kali belanja di batalkan sistem",5
"Beli hp 8.7jt Payment gopay latter 12bln jatuhnya 12,6jt gilee 😹😹😹",1
"Penjual tidak mengirim barang saya sudah 3 hari dan tokopedia diam saja saat dikomplain, karena menunggu waktu estimasi yang terlalu lama hingga 1 minggu !! padahal yang saya pesan adalah obat untuk bapak saya, penjual dan tokopedia tidak memberikan respon apapun ! masak harus nunggu 1 minggu dulu cuk ! estimasi waktu yg bodoh ! 💩",2
selama belanja disini barang bagus dan proses jg cepat sukses selalu buat tokopedia,5
ini udah bisa login. cuma history semua hilang bersih. jadi pengguna baru. tapi kupon nya gak bisa dipake yang beli rp100 gak jelas juga tokopedia ini,1
bagus puas belanja disini,5
sangat cepat dalam melakukan pencarian,5
banyak manfaatnya,5
belaja jadi hemat tapi syg gak bisa playleter,5
"Tidak jelas, banyak bug, tidak bisa memakai diskon pengguna pertama",1
kasih bintang 4 dulu kalo pengiriman mantap aku tambahin lagi 🙏,4
sangat membantu,5
